"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x863048625294888961","x1043187619348267008",2018-09-21 17:18:04,"BookRarities","The Casual Vacancy by J. K. Rowling - Signed Copy https://t.co/lge2yFWueu https://t.co/L2mMZRvBJ6","BookRarities",73,,,,FALSE,FALSE,0,0,,,"rover.ebay.com/rover/1/711-53…","https://t.co/lge2yFWueu","http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&pub=5575170770&toolid=10001&campid=5338080991&customid=&mpre=http%3A%2F%2Fwww.ebay.com%2Fitm%2FCasual-Vacancy-J-K-Rowling-Signed-Copy-%2F273466782911","http://pbs.twimg.com/media/DnolnEgW4AIOKm1.jpg","https://t.co/L2mMZRvBJ6","https://twitter.com/BookRarities/status/1043187619348267008/photo/1","photo","http://pbs.twimg.com/media/DnolnEgW4AIOKm1.jpg","https://t.co/L2mMZRvBJ6","https://twitter.com/BookRarities/status/1043187619348267008/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BookRarities/status/1043187619348267008","Book Rarities","","I select and tweet the most curious used and rare books, including first editions. These are eBay links but I'm not affiliated with eBay. #LoveBooks","https://t.co/jU2Ep9EfE6",FALSE,390,391,7,16345,205,2017-05-12 15:10:01,FALSE,"https://t.co/jU2Ep9EfE6","http://bit.ly/BookRarities","en","https://pbs.twimg.com/profile_banners/863048625294888961/1494604801",,"http://pbs.twimg.com/profile_images/863092805052375041/NXUWUsJm_normal.jpg"
"x443607023","x1043186376722636800",2018-09-21 17:13:08,"oomang_j","@goodreads Lethal White by Robert Galbraith aka J K Rowling","Twitter for iPhone",48,"x1043122729682198528","x15898172","goodreads",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x15898172","goodreads","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/oomang_j/status/1043186376722636800","Umang","Gujarat,India","Chemical Engineer. Bibliophile. Liverpool Supporter. Comic, TV and Movie Buff. Living a thousand lives and one!",,FALSE,392,2038,13,3196,15208,2011-12-22 10:32:32,FALSE,,,"en","https://pbs.twimg.com/profile_banners/443607023/1460698498","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/556731978938990592/c7EPor0j_normal.jpeg"
"x430374017","x1043184939150270464",2018-09-21 17:07:25,"_KJ3","@VegaGenesis_ J.K. Rowling the goat","Twitter for iPhone",21,"x1043150917317615616","x152333116","VegaGenesis_",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x152333116","VegaGenesis_","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_KJ3/status/1043184939150270464","Pilot Jones <U+2708>","","Vibin' wit Jewell<U+270C><U+2708>",,FALSE,617,342,0,20906,4062,2011-12-07 02:58:49,FALSE,,,"en","https://pbs.twimg.com/profile_banners/430374017/1532875505","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/985342739431743489/fMXB4OQ6_normal.jpg"
"x2771215962","x1043182590142738432",2018-09-21 16:58:05,"sherrypie18","“We do not need magic to transform our world. We carry all the power we need inside ourselves already.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",139,"x1043182588448264193","x2771215962","sherrypie18",FALSE,FALSE,1,26,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043182590142738432","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043183284757250050",2018-09-21 17:00:51,"sherrypie18","“Let us step into the night and pursue that flighty temptress, adventure.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",110,"x1043183282769223680","x2771215962","sherrypie18",FALSE,FALSE,2,27,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043183284757250050","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043184089786867713",2018-09-21 17:04:03,"sherrypie18","“Fear of a name increases fear of the thing itself.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",88,"x1043184088306266112","x2771215962","sherrypie18",FALSE,FALSE,3,22,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043184089786867713","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043178825062932480",2018-09-21 16:43:07,"sherrypie18","“It matters not what someone is born, but what they grow to be.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",100,"x1043178823502594048","x2771215962","sherrypie18",FALSE,FALSE,1,25,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043178825062932480","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043181925253279744",2018-09-21 16:55:27,"sherrypie18","“Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",121,"x1043181923491692545","x2771215962","sherrypie18",FALSE,FALSE,0,24,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043181925253279744","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043179598555447296",2018-09-21 16:46:12,"sherrypie18","“Wit beyond measure is man’s greatest treasure.” <U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",84,"x1043179597079109637","x2771215962","sherrypie18",FALSE,FALSE,0,20,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043179598555447296","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
"x2771215962","x1043176957037309955",2018-09-21 16:35:42,"sherrypie18","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”<U+2015> J.K. Rowling  #ALDUBTeamSoldOut <U+2665>","Twitter Web Client",142,"x1043176955158265856","x2771215962","sherrypie18",FALSE,FALSE,2,28,"ALDUBTeamSoldOut",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sherrypie18/status/1043176957037309955","<U+0001F45B>SHERRY<U+0001F49D>","","ALDUB / MAICHARD IS L<U+0001F497>VE FOREVER I WILL STAND AS THEIR FAN <U+2764> **ALDUB FAN ACCOUNT**",,FALSE,3467,317,12,806206,2022,2014-08-26 21:07:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2771215962/1531782937","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1033771785555075072/0f3YDxCt_normal.jpg"
